model,task,repeat,arm,passed,generation_calls,generation_tokens,standalone_preparation_tokens,source,record,record_sha256,original_record
gpt4o,eda_024,1,spicepilot,False,3,12966,0,formal-v1,records/units/gpt4o/eda_024/1/spicepilot/record.json,b818e42e2ca14a03e1cabfbf3ad584dce18f0579d2a7b3a813a021c494afea35,formal-v1/units/gpt4o/eda_024/1/spicepilot/record.json
gpt4o,eda_024,1,direct,False,3,2210,0,formal-v1,records/units/gpt4o/eda_024/1/direct/record.json,6d1f4cf87bec0dcd2c1669cb99b51d21e2f99721ec8dc3477773f0844022f208,formal-v1/units/gpt4o/eda_024/1/direct/record.json
gpt4o,eda_024,3,analogcoder,False,1,2715,0,formal-v1,records/units/gpt4o/eda_024/3/analogcoder/record.json,9d54c494e7f5064ecb0266ecf4483fb32525cdde755ac3d2a8ea77d49a4a5dfa,formal-v1/units/gpt4o/eda_024/3/analogcoder/record.json
gpt4o,eda_024,3,spicepilot,False,3,13108,0,formal-v1,records/units/gpt4o/eda_024/3/spicepilot/record.json,5ca799841b65a127715df528899283948ca5d767fecc4d85f67790faba6c41bc,formal-v1/units/gpt4o/eda_024/3/spicepilot/record.json
gpt4o,eda_024,3,direct,False,3,2219,0,formal-v1,records/units/gpt4o/eda_024/3/direct/record.json,6b357baa876b90d8d4931150c06ee9f87ee74e3922ce59cf90ca66efa3acbc16,formal-v1/units/gpt4o/eda_024/3/direct/record.json
gpt4o,eda_024,2,analogcoder,False,1,2778,0,formal-v1,records/units/gpt4o/eda_024/2/analogcoder/record.json,211d82cb169151b1831e3d64e04d2c5cbdd67648ddc695947a63bc3f7c29dd24,formal-v1/units/gpt4o/eda_024/2/analogcoder/record.json
gpt4o,eda_024,2,spicepilot,False,3,12923,0,formal-v1,records/units/gpt4o/eda_024/2/spicepilot/record.json,6c07b578854830171d96179f0a5ee9b97e2baf3551d890ce92d2e21381079940,formal-v1/units/gpt4o/eda_024/2/spicepilot/record.json
gpt4o,eda_024,2,direct,False,3,2254,0,formal-v1,records/units/gpt4o/eda_024/2/direct/record.json,b77747c10f7d9a523edb1f8c968db2b917103bac40a5c2489e31c0f3da33b1ea,formal-v1/units/gpt4o/eda_024/2/direct/record.json
gpt4o,eda_210,1,analogcoder,False,3,10089,0,formal-v1,records/units/gpt4o/eda_210/1/analogcoder/record.json,6dd36152d8e6d5ad96eebcc78c5edb905f619447fe8e8bea4dacd12a92582317,formal-v1/units/gpt4o/eda_210/1/analogcoder/record.json
gpt4o,eda_210,1,spicepilot,False,3,13314,0,formal-v1,records/units/gpt4o/eda_210/1/spicepilot/record.json,29497dc86453f8ed090edf66a591d97478a23791659138ca2219ed588d1985b2,formal-v1/units/gpt4o/eda_210/1/spicepilot/record.json
